sample	Ne_Aara	Ne_Aqua	Ne_Aara:Aqua	Ne_Amel	Ne_Aara:Aqua:Amel	Ne_Amer	Ne_Aara:Aqua:Amel:Amer	Ne_Acol	Ne_Agam	Ne_Acol:Agam	Ne_Aara:Aqua:Amel:Amer:Acol:Agam	bmig_Aara_to_Acol	bmig_Aara_to_Aqua	bmig_Aara_to_Amer	bmig_Aara_to_Amel	bmig_Aara_to_Agam	bmig_Aara_to_Acol:Agam	bmig_Aqua_to_Aara	bmig_Aqua_to_Acol	bmig_Aqua_to_Amer	bmig_Aqua_to_Amel	bmig_Aqua_to_Agam	bmig_Aqua_to_Acol:Agam	bmig_Aara:Aqua_to_Amer	bmig_Aara:Aqua_to_Amel	bmig_Aara:Aqua_to_Acol:Agam	bmig_Amel_to_Aara	bmig_Amel_to_Acol	bmig_Amel_to_Aqua	bmig_Amel_to_Amer	bmig_Amel_to_Agam	bmig_Amel_to_Acol:Agam	bmig_Amel_to_Aara:Aqua	bmig_Aara:Aqua:Amel_to_Amer	bmig_Aara:Aqua:Amel_to_Acol:Agam	bmig_Amer_to_Aara	bmig_Amer_to_Acol	bmig_Amer_to_Aqua	bmig_Amer_to_Amel	bmig_Amer_to_Agam	bmig_Amer_to_Acol:Agam	bmig_Amer_to_Aara:Aqua	bmig_Amer_to_Aara:Aqua:Amel	bmig_Aara:Aqua:Amel:Amer_to_Acol:Agam	bmig_Acol_to_Aara	bmig_Acol_to_Aqua	bmig_Acol_to_Amer	bmig_Acol_to_Amel	bmig_Acol_to_Agam	bmig_Agam_to_Aara	bmig_Agam_to_Acol	bmig_Agam_to_Aqua	bmig_Agam_to_Amer	bmig_Agam_to_Amel	bmig_Acol:Agam_to_Aara	bmig_Acol:Agam_to_Aqua	bmig_Acol:Agam_to_Amer	bmig_Acol:Agam_to_Amel	bmig_Acol:Agam_to_Aara:Aqua	bmig_Acol:Agam_to_Aara:Aqua:Amel	bmig_Acol:Agam_to_Aara:Aqua:Amel:Amer	height_Aara	height_Aqua	height_Aara:Aqua	height_Amel	height_Aara:Aqua:Amel	height_Amer	height_Aara:Aqua:Amel:Amer	height_Acol	height_Agam	height_Acol:Agam	height_Aara:Aqua:Amel:Amer:Acol:Agam
10	6.33715960720749E-4	6.298887908418012E-4	6.351795852821519E-4	3.8452980446464024E-4	7.718650161061735E-4	4.7796526387966834E-4	7.723396234960372E-4	8.234277971305174E-4	5.784104063866913E-4	7.335091536766374E-4	0.0010460952769746873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.91308373983617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00604468744110861	0.0	0.008642450160783837	0.0	0.010605416698282463	0.0	0.0	0.001163165511403979	0.01081992816512585
11	0.001031462656177778	0.0011835049465607431	0.0011385254277696442	0.001638950602393611	0.0012043664024388146	8.26086011510021E-4	0.00163437100447178	0.0019626676787168522	0.0017939048007397577	0.0011424141642563887	0.002348108499694443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7301371106982851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004554629905120659	0.0	0.007193825765775004	0.0	0.008668605170349628	0.0	0.0	7.148166312388529E-4	0.00904330770515327
12	0.0022501679222200932	0.0010556822718724742	0.001389620273506922	0.0017718028752959798	0.0016513275171155123	0.0022171322678976755	0.0011987426729951377	0.0018591553376826684	0.0019513384403100924	9.048465608679821E-4	0.001737836369644326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7301371106982851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.692449781971872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004519260958822521	0.0	0.007735579364682605	0.0	0.009242097337945026	0.0	0.0	0.001036874765818761	0.009579054632266748
13	3.7358188389993854E-4	4.53154754593544E-4	8.448106153305881E-4	7.075791157533159E-4	0.001031242198141437	8.038315878285314E-4	0.0012387231949122356	0.0013625922943213712	7.364243031252555E-4	6.776348913313773E-4	8.724077059503498E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004847527571889899	0.0	0.008054087913113543	0.0	0.010740302677487283	0.0	0.0	7.629982953026148E-4	0.010842386858820517
14	0.0022708617638513735	0.0013329500283191216	0.0010448391823486972	0.001698779609250697	0.001049780067506369	0.001222323101891153	0.0021563647400279786	0.001153284583755054	0.001866464092587219	0.00114451707418385	0.0014340594294891755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005205178377740322	0.0	0.008132714895987018	0.0	0.010038630084054388	0.0	0.0	8.465819226869536E-4	0.010310991120277616
15	9.87609620886885E-4	9.91665769632442E-4	6.186590204826818E-4	7.933321585423288E-4	0.0010008133503282232	9.274337610463419E-4	6.296350804804279E-4	6.71112511535534E-4	5.676221847127765E-4	0.001153802199125246	8.189925257816037E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006191491136586378	0.0	0.008587119451116202	0.0	0.010483403818109234	0.0	0.0	0.0010453514820624732	0.010628700759213065
16	9.278365094910068E-4	0.0010565971801779182	9.402411094240385E-4	6.67506100767224E-4	5.980238607153457E-4	9.36541575192855E-4	9.283122859196701E-4	6.032105290890929E-4	6.335266672430062E-4	9.043820989421001E-4	8.919356062131564E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006070001285923916	0.0	0.008712467795362567	0.0	0.010616463318695783	0.0	0.0	0.001070321516240801	0.01065648101304608
17	0.001082539386459949	8.254833859378433E-4	0.0011437120740051543	8.524630953668492E-4	0.0010161500823948804	0.0011553695174138959	7.522257769862683E-4	6.240009581717017E-4	9.017449553681128E-4	9.757449639461475E-4	0.001157204838936792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006139098272546725	0.0	0.008607131355284355	0.0	0.010859934161358746	0.0	0.0	0.001207793286507058	0.010969037803642594
18	0.0010491138664366958	0.0014367766153547447	0.0010818427676460274	0.001233657657304274	0.0011487630231238203	0.0011536129855965554	0.0010510739197078403	0.0014940729355206145	0.0010269450376443146	0.0011067263228513736	0.0010645596367279439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0051964433848965975	0.0	0.007634174239925911	0.0	0.009692103870260455	0.0	0.0	6.272865127171668E-4	0.010313567631764371
19	8.503723986695799E-4	7.848999083787078E-4	0.0013342543245586556	0.0011139925820304534	0.0013444850189182355	0.0011268579905836353	0.00136984087459595	0.0013315793599351148	0.0010334241796239915	8.684416646597547E-4	0.0013263486095081859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004468935259223402	0.0	0.008030375194149772	0.0	0.00940510058617304	0.0	0.0	7.011209959679465E-4	0.00970682939064587
