sample	Ne_Aara	Ne_Aqua	Ne_Aara:Aqua	Ne_Amel	Ne_Aara:Aqua:Amel	Ne_Acol	Ne_Agam	Ne_Acol:Agam	Ne_Aara:Aqua:Amel:Acol:Agam	Ne_Amer	Ne_Aara:Aqua:Amel:Acol:Agam:Amer	bmig_Aara_to_Acol	bmig_Aara_to_Aqua	bmig_Aara_to_Amer	bmig_Aara_to_Amel	bmig_Aara_to_Agam	bmig_Aara_to_Acol:Agam	bmig_Aqua_to_Aara	bmig_Aqua_to_Acol	bmig_Aqua_to_Amer	bmig_Aqua_to_Amel	bmig_Aqua_to_Agam	bmig_Aqua_to_Acol:Agam	bmig_Aara:Aqua_to_Amer	bmig_Aara:Aqua_to_Amel	bmig_Aara:Aqua_to_Acol:Agam	bmig_Amel_to_Aara	bmig_Amel_to_Acol	bmig_Amel_to_Aqua	bmig_Amel_to_Amer	bmig_Amel_to_Agam	bmig_Amel_to_Acol:Agam	bmig_Amel_to_Aara:Aqua	bmig_Aara:Aqua:Amel_to_Amer	bmig_Aara:Aqua:Amel_to_Acol:Agam	bmig_Acol_to_Aara	bmig_Acol_to_Aqua	bmig_Acol_to_Amer	bmig_Acol_to_Amel	bmig_Acol_to_Agam	bmig_Agam_to_Aara	bmig_Agam_to_Acol	bmig_Agam_to_Aqua	bmig_Agam_to_Amer	bmig_Agam_to_Amel	bmig_Acol:Agam_to_Aara	bmig_Acol:Agam_to_Aqua	bmig_Acol:Agam_to_Amer	bmig_Acol:Agam_to_Amel	bmig_Acol:Agam_to_Aara:Aqua	bmig_Acol:Agam_to_Aara:Aqua:Amel	bmig_Aara:Aqua:Amel:Acol:Agam_to_Amer	bmig_Amer_to_Aara	bmig_Amer_to_Acol	bmig_Amer_to_Aqua	bmig_Amer_to_Amel	bmig_Amer_to_Agam	bmig_Amer_to_Acol:Agam	bmig_Amer_to_Aara:Aqua	bmig_Amer_to_Aara:Aqua:Amel	bmig_Amer_to_Aara:Aqua:Amel:Acol:Agam	height_Aara	height_Aqua	height_Aara:Aqua	height_Amel	height_Aara:Aqua:Amel	height_Acol	height_Agam	height_Acol:Agam	height_Aara:Aqua:Amel:Acol:Agam	height_Amer	height_Aara:Aqua:Amel:Acol:Agam:Amer
10	0.0012362966010977326	0.0018550963632750586	9.431110398888184E-4	0.0015297191940193944	0.001080805824361127	7.647408990082872E-4	0.0013246548271424723	9.710678373068664E-4	0.0017884069683224194	8.961713179951183E-4	0.0011221163972833605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.484360596367116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.389121038396404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0051908559076831945	0.0	0.007635279938795225	0.0	0.0	7.373800257382407E-4	0.009062074355702346	0.0	0.010225883918939627
11	0.0016318758624541336	0.0017443197371136837	8.387334338538107E-4	0.0011330211626510525	0.0012820589487396168	0.0011240485236996061	8.329503752227412E-4	6.800845521666814E-4	0.0011274390504425154	0.0010629831657144706	9.761544853977855E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.075589542863614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.734723475976807E-18	1.734723475976807E-18	0.005507704581242465	1.734723475976807E-18	0.007895189561884529	0.0	0.0	0.0011563712122347088	0.01016029506896816	1.734723475976807E-18	0.01093402917215927
12	0.001132628966523146	0.0017576350304081537	8.758680190677437E-4	0.0011416700982610477	0.0010286394546690284	9.953017879550338E-4	0.001017132436129193	9.141466248692714E-4	0.0015743464301425816	0.0012021886771375059	0.0011619882605621132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005636524782995983	0.0	0.008246812232488188	0.0	0.0	4.76936898393298E-4	0.010084976441978788	0.0	0.01045505206175324
13	0.0010497058608514459	9.598207453265879E-4	0.0013109688978776778	0.0011298227663048565	0.0015511626807532325	0.0010363866391190607	0.0012914655638243137	0.0014038491528726809	0.0012151049380041837	0.0011811768866110814	0.001471335504358431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005759882271246958	0.0	0.008470471437414494	0.0	0.0	8.371605055474199E-5	0.01035233680815885	0.0	0.010458198221455875
14	0.0023643163795986884	8.85380158516281E-4	0.0018265227641385813	0.0013676634044819766	0.0012774961522219223	0.0010311371076118586	0.0012577362321521944	9.781389430963392E-4	0.0012539937281258664	0.0019831858977076926	0.0011458247583173216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.196040751631614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005530573752908781	0.0	0.009090289735812994	0.0	0.0	0.0011598133743559846	0.010687766097698942	0.0	0.010742268458464302
15	7.289991729885601E-4	0.0010669932832534802	0.0013251674199913684	0.0012870799173676634	8.104496833761357E-4	0.001062914860693166	0.0012911424555163186	9.834595364170585E-4	0.0017089332286658685	0.0018539096802202282	8.567328338428471E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.197041691382103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005751872631267313	0.0	0.008071101475662656	0.0	0.0	8.760983952834037E-4	0.01008567437275212	0.0	0.010579383255505363
16	0.0017218879580994044	0.0015704315636102426	0.0012977606817858119	0.0016823784074478276	0.001006402943882038	0.001857224372837687	0.0011533416297226028	8.592660279013304E-4	0.001960945751467432	9.674447128084084E-4	0.001291505653698649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7698054675614836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005804717394933621	0.0	0.00853573933725904	0.0	0.0	0.0011286311541484923	0.010067423931622344	0.0	0.01082622146406508
17	0.0010217808932331412	0.0016786617585431984	6.66090417920801E-4	0.0015692332498259	0.0011585454000656871	6.598697541594676E-4	0.001355315948959263	6.668412191471097E-4	0.0010782508471921023	7.4446923374165E-4	0.0010372984928758914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.17622397737848	0.0	0.0	0.0	0.005923684075059152	0.0	0.007921491281145986	0.0	0.0	8.27711631555629E-4	0.009752249648257287	0.0	0.010195411756342494
18	0.0016977165353636741	0.00202772848608121	9.667355966065138E-4	0.0014071661257701866	0.0012506475135537212	0.0020776647984098126	0.0012971282255642164	9.678252779049089E-4	0.0018776893952685784	0.0014829697813463025	0.001497062079452009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.71644963121294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.17622397737848	0.0	0.0	0.0	0.005737957654494891	0.0	0.007560377186900629	0.0	0.0	0.0011060419447191903	0.010170040474689687	0.0	0.010729405542979936
19	0.0012097387038977013	0.0010681607089470361	5.993824986865324E-4	8.119013194945712E-4	9.972407100718186E-4	0.001138303277855125	6.822008723224258E-4	5.24880451489911E-4	0.0011501154537152376	0.0012672082624897774	0.0010598463530878956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.385294449629844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00553805006356073	0.0	0.006918460373601567	0.0	0.0	0.0011597274321136532	0.00949963947610476	0.0	0.01029470763496604
