sample	Ne_Aara	Ne_Aqua	Ne_Aara:Aqua	Ne_Amel	Ne_Aara:Aqua:Amel	Ne_Acol	Ne_Agam	Ne_Acol:Agam	Ne_Amer	Ne_Acol:Agam:Amer	Ne_Aara:Aqua:Amel:Acol:Agam:Amer	bmig_Aara_to_Acol	bmig_Aara_to_Aqua	bmig_Aara_to_Amer	bmig_Aara_to_Amel	bmig_Aara_to_Agam	bmig_Aara_to_Acol:Agam	bmig_Aqua_to_Aara	bmig_Aqua_to_Acol	bmig_Aqua_to_Amer	bmig_Aqua_to_Amel	bmig_Aqua_to_Agam	bmig_Aqua_to_Acol:Agam	bmig_Aara:Aqua_to_Amer	bmig_Aara:Aqua_to_Amel	bmig_Aara:Aqua_to_Acol:Agam	bmig_Amel_to_Aara	bmig_Amel_to_Acol	bmig_Amel_to_Aqua	bmig_Amel_to_Amer	bmig_Amel_to_Agam	bmig_Amel_to_Acol:Agam	bmig_Amel_to_Aara:Aqua	bmig_Aara:Aqua:Amel_to_Amer	bmig_Aara:Aqua:Amel_to_Acol:Agam	bmig_Aara:Aqua:Amel_to_Acol:Agam:Amer	bmig_Acol_to_Aara	bmig_Acol_to_Aqua	bmig_Acol_to_Amer	bmig_Acol_to_Amel	bmig_Acol_to_Agam	bmig_Agam_to_Aara	bmig_Agam_to_Acol	bmig_Agam_to_Aqua	bmig_Agam_to_Amer	bmig_Agam_to_Amel	bmig_Acol:Agam_to_Aara	bmig_Acol:Agam_to_Aqua	bmig_Acol:Agam_to_Amer	bmig_Acol:Agam_to_Amel	bmig_Acol:Agam_to_Aara:Aqua	bmig_Acol:Agam_to_Aara:Aqua:Amel	bmig_Amer_to_Aara	bmig_Amer_to_Acol	bmig_Amer_to_Aqua	bmig_Amer_to_Amel	bmig_Amer_to_Agam	bmig_Amer_to_Acol:Agam	bmig_Amer_to_Aara:Aqua	bmig_Amer_to_Aara:Aqua:Amel	bmig_Acol:Agam:Amer_to_Aara:Aqua:Amel	height_Aara	height_Aqua	height_Aara:Aqua	height_Amel	height_Aara:Aqua:Amel	height_Acol	height_Agam	height_Acol:Agam	height_Amer	height_Acol:Agam:Amer	height_Aara:Aqua:Amel:Acol:Agam:Amer
493	8.667047893140356E-4	8.390487792436295E-4	0.0010072249161539413	0.0012612689618956307	0.0010690701104244498	0.0012484783748690925	0.001159165567405529	8.737037404115441E-4	0.0014954897046879155	9.457316514104471E-4	0.0013569367628732231	0.0	0.0	6.999301096619295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006274312218460081	0.0	0.008374362512439497	0.0	0.0	7.363020534692996E-4	0.0	0.009712006289667298	0.010562554284782113
494	8.267774525093977E-4	9.331308502308925E-4	0.0010851807778635499	8.120971502813064E-4	0.001461959159498548	0.0010837851502561115	0.0016692292853408475	7.011704328958098E-4	0.0011265976456841906	9.039883667710049E-4	0.0011841147575809936	7.181410073625463	0.0	6.999301096619295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005710867096340723	0.0	0.00789633987605245	0.0	0.0	9.099828623209578E-4	0.0	0.009381796389318388	0.00971087091887713
495	8.882807255760386E-4	9.423149532837966E-4	9.024532472544851E-4	0.0015903796138410267	9.318393824831461E-4	0.0012519542720553893	0.0010733803584877636	5.844292170564039E-4	0.0012309357762686189	0.0010325902042864039	0.0013519326215062826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005554005282706893	0.0	0.007817554971914937	0.0	0.0	0.0010013605836392114	0.0	0.009527445089856559	0.009939563002461804
496	0.001715634661179113	0.0012458656623289517	0.0010455887007595505	0.0014450026881747454	9.582398997022845E-4	9.350651838672253E-4	0.0012677320124907688	6.30457667503756E-4	6.544701293867607E-4	0.0016076610703954915	0.001334329405678557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005608090594972332	0.0	0.007808527748110049	0.0	0.0	8.117988937691219E-4	0.0	0.009126903992238743	0.01007154816212126
497	0.0010729370061183584	9.703916505445136E-4	8.047278530672153E-4	7.608191638750721E-4	0.001063707760004074	8.061320341826298E-4	8.985355039478687E-4	6.337676143166805E-4	8.789224069708063E-4	5.917879532829797E-4	0.0010269545158016098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005799729902754561	0.0	0.00766866289933146	0.0	0.0	8.667849490363727E-4	0.0	0.009470154772480935	0.009853206572309354
498	8.247746442677851E-4	8.532457296378407E-4	8.442901593461674E-4	0.0011377149063931818	0.0016011211744682025	0.0011752786385163029	9.584146157932737E-4	7.547318992334038E-4	5.028306100594127E-4	8.116163526990482E-4	0.0010949397712962888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006283072679469001	0.0	0.008240398847979299	0.0	0.0	0.001017204971320334	0.0	0.010348095386968091	0.010525364205018872
499	0.0018764478153260305	0.0016346393333688094	9.535830370848419E-4	0.0012320171472381197	0.0013289986564557414	0.0012944983321509273	8.372794109538517E-4	0.0013045802958936259	0.001497740344915056	0.0016768805692592484	0.0013567148900801255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.48832958681706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006048577235440823	0.0	0.008016100722642	0.0	0.0	7.195290955842176E-4	0.0	0.009801566750842185	0.00990095133117735
500	0.0010072390085047347	0.0011765363693281526	0.0012658341661833153	0.002157743819236794	0.0011831979469115073	8.738579616061198E-4	0.001350806031357543	0.00103570668751075	0.0011680510870211943	0.0011503597858422527	0.00111570230204028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.48832958681706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006036867176968975	0.0	0.008409309924041132	0.0	0.0	7.81674786578616E-4	0.0	0.010443190798976012	0.011107687699564613
501	0.0014221670090758865	0.0010445029299401666	0.0013367927099137522	0.0011668845960568965	0.00129535955690183	0.0017115519597971727	0.0020664788733421205	0.0011618019853520023	0.001636399580516535	0.0020297308945469122	0.00121160212642139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005386274367067945	0.0	0.008233146812909613	0.0	0.0	2.661396356174184E-4	0.0	0.009523318091359742	0.010680880485599347
502	0.001994735146010196	0.0025360268569534724	0.0017769122693945781	0.0014579522253496434	0.00213848138626569	0.002926403658804869	0.0010911828189503164	0.0014516018085108005	0.001796190718530587	0.001955119927196886	0.0013976277191610701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0054368667211107434	0.0	0.0083894762849896	0.0	0.0	1.450196828712419E-5	0.0	0.008957199341423555	0.010644950617478659
